CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Male,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,20,14
12,Female,35,20,99
13,Female,58,21,15
14,Female,24,21,77
15,Male,37,22,13
16,Male,22,22,79
17,Female,35,23,35
18,Male,20,23,66
19,Male,52,24,29
20,Female,35,24,98
21,Male,45,25,35
22,Male,32,25,73
23,Female,46,26,5
24,Male,25,26,73
25,Female,54,28,14
26,Male,29,28,82
27,Female,45,29,32
28,Male,35,29,61
29,Female,40,30,31
30,Male,23,30,87
31,Female,60,35,4
32,Male,28,35,73
33,Female,36,38,26
34,Female,25,38,75
35,Male,41,40,35
36,Male,27,40,92
37,Female,48,42,17
38,Male,30,42,80
39,Female,34,45,20
40,Male,29,45,79
41,Female,31,48,42
42,Male,28,48,61
43,Female,40,50,49
44,Male,27,50,60
45,Female,35,54,50
46,Male,30,54,55
47,Female,32,58,52
48,Male,29,58,47
49,Female,38,60,50
50,Male,31,60,52
51,Female,42,62,44
52,Male,36,62,59
53,Female,29,65,48
54,Male,41,65,55
55,Female,37,68,41
56,Male,33,68,60
57,Female,45,70,20
58,Male,39,70,78
59,Female,28,72,18
60,Male,40,72,81
61,Female,30,75,22
62,Male,44,75,84
63,Female,35,78,15
64,Male,31,78,90
65,Female,46,80,16
66,Male,29,80,87
67,Female,41,82,21
68,Male,34,82,76
69,Female,38,85,12
70,Male,30,85,91
71,Female,47,88,14
72,Male,33,88,79
73,Female,42,90,17
74,Male,28,90,95
75,Female,36,92,18
76,Male,32,92,82
77,Female,44,95,20
78,Male,29,95,89
79,Female,39,98,16
80,Male,31,98,94
81,Female,26,100,97
82,Male,35,102,89
83,Female,29,105,92
84,Male,42,108,85
85,Female,37,110,94
86,Male,30,112,88
87,Female,45,115,91
88,Male,34,118,96
89,Female,28,120,98
90,Male,39,122,90
91,Female,31,125,95
92,Male,43,128,87
93,Female,35,130,99
94,Male,29,132,93
95,Female,41,135,96
96,Male,33,138,91
97,Female,27,140,98
98,Male,38,142,89
99,Female,30,145,97
100,Male,40,150,95
